fooditems;energy_kcal;carbs;protein_g;fat_g;freesugar_g;fibre_g;cholestrol_mg;calcium_mg
Butternaan;300.0;50.0;7.0;10.0;2.0;2.0;15.0;50.0
Cupcake;200.0;30.0;2.0;8.0;20.0;0.5;20.0;20.0
Donuts;250.0;30.0;3.0;12.0;10.0;1.0;20.0;20.0
French Fries;312.0;41.0;3.4;15.0;0.3;3.8;0.0;20.0
Garlic Bread;200.0;25.0;4.0;10.0;1.0;1.0;10.0;30.0
Grilled Cheese Sandwich;400.0;30.0;12.0;25.0;2.0;2.0;50.0;200.0
Hot Dog;290.0;24.0;10.0;18.0;4.0;1.0;30.0;20.0
Ice Cream;207.0;24.0;3.5;11.0;21.0;0.5;44.0;100.0
Lobster Roll Sandwich;450.0;30.0;20.0;25.0;3.0;2.0;80.0;60.0
Onion Rings;275.0;31.0;3.0;15.0;5.0;2.0;0.0;30.0
Red Velvet Cake;293.0;37.45;5.45;13.74;13.89;1.2;43.0;85.0
Strawberry Shortcake;250.0;35.0;3.0;12.0;15.0;1.0;30.0;50.0
Vada Pav;304.0;40.17;9.17;11.92;9.42;3.8;0.0;71.0
Waffles;220.0;20.0;13.0;11.0;5.0;3.0;30.0;100.0
Hottea(  Garam Chai );16.14;2.58;0.39;0.53;2.58;0.0;0.0;14.2
Instantcoffee;23.16;3.65;0.64;0.75;3.62;0.0;0.0;20.87
Espresocoffee;51.54;6.62;1.75;2.14;6.53;0.0;0.0;58.1
Icedtea;10.34;2.7;0.03;0.01;2.7;0.0;0.0;1.18
Rawmangodrink(  Aampanna );35.92;9.05;0.16;0.03;7.49;0.61;0.0;7.08
Fruit Punch( withfreshjuices );36.12;9.38;0.14;0.03;9.25;0.06;0.0;5.07
Fruit Punch( withsquashes );23.13;5.99;0.07;0.02;5.88;0.17;0.0;3.3
Lemonade;20.8;5.48;0.03;0.01;5.47;0.02;0.0;1.84
Lem-o-gin;21.52;5.55;0.08;0.03;5.38;0.13;0.0;2.2
Cumininfusedwater(  Jeere/ Zeerekapani );9.09;1.86;0.17;0.11;1.46;0.46;0.0;10.84
